Id,R,RM,Nome,Squadra,Qt.A,Qt.I,Diff.,Qt.A M,Qt.I M,Diff.M,FVM,FVM M
5841,P,Por,Svilar,Roma,19,18,1,19,18,1,90,90
4431,P,Por,Carnesecchi,Atalanta,16,16,0,16,16,0,56,56
5116,P,Por,Martinez Jo.,Inter,16,17,-1,16,17,-1,63,63
4964,P,Por,Vicario,Juventus,16,16,0,16,16,0,62,62
6966,P,Por,Butez,Como,15,16,-1,15,16,-1,47,47
4312,P,Por,Maignan,Milan,14,15,-1,14,15,-1,51,51
4360,P,Por,Caprile,Cagliari,11,9,2,11,9,2,25,25
6482,P,Por,Mandas,Lazio,11,9,2,11,9,2,35,35
133,P,Por,Skorupski,Bologna,10,10,0,10,10,0,28,28
2521,P,Por,De Gea,Fiorentina,10,13,-3,10,13,-3,24,24
572,P,Por,Meret,Napoli,10,11,-1,10,11,-1,45,45
6534,P,Por,Perri,Torino,9,9,0,9,9,0,17,17
2134,P,Por,Falcone,Lecce,8,8,0,8,8,0,24,24
6462,P,Por,Okoye,Udinese,8,9,-1,8,9,-1,26,26
6344,P,Por,Sanchez Ro.,Como,8,8,0,8,8,0,15,15
7332,P,Por,Bijlow,Genoa,7,8,-1,7,8,-1,12,12
6415,P,Por,Palmisani,Frosinone,6,4,2,6,4,2,13,13
7411,P,Por,Daffara,Parma,6,7,-1,6,7,-1,5,5
4236,P,Por,Muric,Sassuolo,6,7,-1,6,7,-1,14,14
2170,P,Por,Milinkovic-Savic V.,Napoli,5,5,0,5,5,0,10,10
6248,P,Por,Stankovic F.,Venezia,5,6,-1,5,6,-1,9,9
4485,P,Por,Thiam,Monza,4,5,-1,4,5,-1,4,4
6662,P,Por,Corvi,Parma,3,1,2,3,1,2,10,10
7172,P,Por,Pessina Mas.,Bologna,2,1,1,2,1,1,1,1
4,P,Por,Sportiello,Atalanta,1,1,0,1,1,0,1,1
7533,P,Por,Happonen,Bologna,1,1,0,1,1,0,1,1
6650,P,Por,Sherri,Cagliari,1,1,0,1,1,0,1,1
7301,P,Por,Tornqvist,Monza,1,1,0,1,1,0,3,3
2809,P,Por,Vigorito,Como,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,1,0,1,1,0,1,1
158,P,Por,Lezzerini,Fiorentina,1,1,0,1,1,0,1,1
7463,P,Por,Desplanches,Frosinone,1,2,-1,1,2,-1,1,1
7466,P,Por,Lolic,Frosinone,1,1,0,1,1,0,1,1
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
6569,P,Por,Stolz,Genoa,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
2814,P,Por,Provedel,Inter,1,2,-1,1,2,-1,5,5
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
7337,P,Por,Motta,Lazio,1,1,0,1,1,0,1,1
7534,P,Por,Renzetti,Lazio,1,1,0,1,1,0,1,1
2815,P,Por,Terracciano,Milan,1,1,0,1,1,0,1,1
6813,P,Por,Torriani,Milan,1,1,0,1,1,0,1,1
7475,P,Por,Strajnar,Monza,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
7048,P,Por,De Marzi,Roma,1,1,0,1,1,0,1,1
610,P,Por,Gollini,Roma,1,1,0,1,1,0,1,1
4518,P,Por,Russo A.,Sassuolo,1,1,0,1,1,0,1,1
4867,P,Por,Turati,Sassuolo,1,1,0,1,1,0,1,1
7457,P,Por,Mascardi,Torino,1,1,0,1,1,0,1,1
7363,P,Por,Siviero,Torino,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
6671,P,Por,Grandi,Venezia,1,1,0,1,1,0,1,1
7531,P,Por,Pozzi,Venezia,1,1,0,1,1,0,1,1
2127,P,Por,Satalino,Sassuolo,1,1,0,1,1,0,1,1
7557,P,Por,Penev,Lecce,1,1,0,1,1,0,1,1
7560,P,Por,Pisseri,Frosinone,1,1,0,1,1,0,1,1
3,P,Por,Radunovic,Cagliari,1,1,0,1,1,0,1,1
4957,P,Por,Montipò,Venezia,1,1,0,1,1,0,1,1
4468,P,Por,Bleve,Lecce,1,1,0,1,1,0,1,1
7603,P,Por,Grabara,Juventus,1,1,0,1,1,0,1,1
7611,P,Por,Mrozek,Udinese,1,1,0,1,1,0,1,1
2874,P,Por,Ghidotti,Parma,1,1,0,1,1,0,1,1
7626,P,Por,Pompei,Atalanta,1,1,0,1,1,0,1,1
254,D,E;W,Dimarco,Inter,30,32,-2,29,30,-1,250,250
7181,D,E,Wesley,Roma,18,17,1,16,16,0,87,87
4998,D,E,Molina N.,Roma,18,18,0,18,18,0,63,63
2788,D,Dc,Bremer,Juventus,16,15,1,16,15,1,56,56
4159,D,Dc,Akanji,Inter,15,16,-1,15,16,-1,41,41
2296,D,Dc,Mancini,Roma,15,15,0,15,15,0,54,54
2120,D,Dc,Bastoni,Inter,14,14,0,14,14,0,42,42
4409,D,Dc,Rrahmani,Napoli,14,14,0,14,14,0,51,51
4976,D,Dd;Dc,Kalulu,Juventus,13,13,0,14,14,0,42,44
5022,D,Dc,Pavlovic,Milan,13,14,-1,13,14,-1,43,43
6956,D,Dc,Solet,Udinese,13,13,0,13,13,0,35,35
6869,D,Dc,Ramon,Como,12,10,2,12,10,2,35,35
6217,D,Dc,Bisseck,Inter,12,11,1,12,11,1,36,36
2514,D,Dc,Stones,Inter,12,12,0,12,12,0,19,19
5833,D,Dc,Gila,Milan,12,12,0,12,12,0,29,29
2816,D,Dd;E,Di Lorenzo,Napoli,12,12,0,12,12,0,37,37
4317,D,Dc,N'Dicka,Roma,12,13,-1,12,13,-1,37,37
4807,D,Dc,Hermoso,Roma,11,10,1,11,10,1,34,34
5982,D,E,Spence,Inter,11,12,-1,10,11,-1,23,23
5526,D,Dc,Scalvini,Atalanta,10,10,0,10,10,0,25,25
5750,D,Dc,Ostigard,Genoa,10,11,-1,10,11,-1,32,32
5641,D,Dd;Dc,Chalobah T.,Como,10,9,1,11,10,1,28,30
5885,D,Dd;E,Dodò,Fiorentina,9,10,-1,9,10,-1,16,16
5514,D,Ds;Dc,Vasquez,Genoa,9,9,0,10,10,0,30,33
5877,D,B;Ds;E,Carlos Augusto,Inter,9,7,2,10,8,2,25,25
6989,D,Dc,Tiago Gabriel,Lecce,9,7,2,9,7,2,23,23
7485,D,Ds;E,Mangas,Monza,9,6,3,9,6,3,25,25
5862,D,Ds;E,Valeri,Parma,9,8,1,9,8,1,22,22
5555,D,Ds;E,Kamara H.,Udinese,9,6,3,9,6,3,12,12
6727,D,Dd;E,Couto,Como,9,8,1,9,8,1,31,31
554,D,Dd;E,Zappacosta,Atalanta,8,8,0,8,8,0,14,14
6042,D,Dc,Lucumì,Juventus,8,8,0,8,8,0,16,16
4734,D,Ds;E,Miranda J.,Bologna,8,8,0,8,8,0,22,22
5701,D,B;Ds;E,Obert,Cagliari,8,7,1,8,7,1,15,17
7414,D,Ds;E,Kaiki,Como,8,7,1,8,7,1,16,16
5365,D,Dc,Dragusin,Fiorentina,8,8,0,8,8,0,18,18
6531,D,Dd;Ds;E,Jimenez A.,Fiorentina,8,8,0,8,9,-1,17,20
5520,D,Dd;Ds;E,Cambiaso,Juventus,8,9,-1,9,10,-1,10,12
6320,D,Dc,Doekhi,Lazio,8,7,1,8,7,1,15,15
6496,D,Ds;E,Bartesaghi,Milan,8,8,0,8,8,0,12,12
1852,D,Ds;E,Spinazzola,Napoli,8,8,0,8,8,0,24,24
6664,D,B;Dd;E,Delprato,Parma,8,8,0,8,8,0,21,24
6495,D,Dc,Comuzzo,Torino,8,6,2,8,6,2,13,13
4994,D,Dd;E,Vojvoda,Udinese,8,8,0,8,8,0,19,19
5675,D,Ds;Dc,Theate,Bologna,8,8,0,9,9,0,20,22
7220,D,Dd;E,Belghali,Torino,8,7,1,8,7,1,17,17
4137,D,Dc,Diego Carlos,Parma,8,8,0,8,8,0,21,21
6046,D,Dc,Hien,Atalanta,7,8,-1,7,8,-1,11,11
4210,D,Dc,Mina,Cagliari,7,8,-1,7,8,-1,15,15
7274,D,Dd;Dc,Zè Pedro,Cagliari,7,5,2,7,6,1,14,16
6867,D,Ds;E,Valle,Como,7,6,1,7,6,1,23,23
7469,D,Ds;Dc,Bracaglia,Frosinone,7,5,2,7,5,2,16,18
6238,D,Dd;E,Oyono A.,Frosinone,7,5,2,7,5,2,10,10
4657,D,B;Dd;E,Celik,Juventus,7,8,-1,8,9,-1,16,18
5620,D,Ds;E,Tavares N.,Lazio,7,6,1,7,6,1,27,27
7529,D,Dc,Koulierakis,Roma,7,8,-1,7,8,-1,10,10
6672,D,Dc,Idzes,Sassuolo,7,7,0,7,7,0,17,17
5851,D,Ds;E,Doig,Sassuolo,7,4,3,7,4,3,10,10
6642,D,Dc,Coco,Torino,7,7,0,7,7,0,14,14
5010,D,Dc,Ismajli,Torino,7,7,0,7,7,0,12,12
7069,D,E,Fortini,Torino,7,5,2,6,4,2,12,12
7564,D,Ds;Dc,Leysen F.,Sassuolo,7,5,2,7,6,1,12,14
4705,D,Dc,Balerdi,Roma,7,6,1,7,6,1,14,14
2640,D,Ds;Dc,Kolasinac,Atalanta,6,5,1,7,6,1,12,13
7219,D,Ds;E,Bernasconi,Atalanta,6,6,0,6,6,0,16,16
7212,D,Ds;Dc,Heggem,Bologna,6,6,0,7,7,0,14,16
5678,D,Dd;E,Holm,Bologna,6,5,1,6,5,1,13,13
4433,D,Dd;E,Zortea,Bologna,6,6,0,6,6,0,15,15
6893,D,Dc,Kempf,Como,6,5,1,6,5,1,12,12
7410,D,Ds;Dc,Viery,Fiorentina,6,6,0,7,7,0,13,14
7467,D,Dc,Calvani,Frosinone,6,4,2,6,4,2,13,13
4952,D,Dc,Monterisi,Frosinone,6,6,0,6,6,0,12,12
6660,D,Dc,Marcandalli,Genoa,6,6,0,6,6,0,14,14
4177,D,Dd;Dc,Pavard,Inter,6,6,0,6,7,-1,14,16
2188,D,Dd;Ds;E,Marusic,Lazio,6,6,0,6,6,0,21,23
6990,D,Dd;E,Veiga D.,Lecce,6,5,1,6,5,1,12,12
4502,D,Ds;E,Gallo,Lecce,6,6,0,6,6,0,12,12
4401,D,Dc,Gabbia,Milan,6,7,-1,6,7,-1,14,14
4751,D,Dc,Tomori,Milan,6,7,-1,6,7,-1,8,8
5838,D,Dd;Ds;E,Birindelli,Monza,6,4,2,6,5,1,14,16
2724,D,Dc,Buongiorno,Napoli,6,7,-1,6,7,-1,14,14
6485,D,Dd;Dc,Kristensen T.,Atalanta,6,7,-1,7,8,-1,14,15
6821,D,Dd;E,Hainaut,Venezia,6,3,3,6,3,3,12,12
7329,D,Ds;E,Obrador,Sassuolo,6,6,0,6,6,0,11,11
4664,D,Dc,Badiashile,Napoli,6,7,-1,6,7,-1,11,11
7580,D,Dc,Sutalo J.,Lazio,6,7,-1,6,7,-1,19,19
4147,D,Dc,Caleta-Car,Sassuolo,6,6,0,6,6,0,11,11
7621,D,Dd;E,Sugawara,Cagliari,6,6,0,6,6,0,15,15
6319,D,Dc,Leite,Lazio,6,6,0,6,6,0,14,14
4887,D,Dd;E,Bellanova,Atalanta,5,6,-1,5,6,-1,17,17
7532,D,Dc,Kofler,Cagliari,5,5,0,5,5,0,4,4
